U0,I0,protocol_id,R,c,n_replicates,E_U,E_I,E_M1,E_mean
500,10,R2_c0_G0.25_L,2.0,0.0,120,0.023204587089862234,0.009719032866288278,0.005516714733093716,0.02575551597839434
500,10,R2_c0_G0.25_M,2.0,0.0,120,0.01717546576327127,0.007526293378892711,0.004263738309843548,0.01923073531057238
500,10,R2_c0_G0.25_F,2.0,0.0,120,0.016238615439091993,0.007172321741548233,0.00438307263224199,0.018285134843432548
500,10,R2_c0_G0.5_L,2.0,0.0,120,0.036090615325021384,0.010892816215940099,0.006240654029159155,0.03821166997612871
500,10,R2_c0_G0.5_M,2.0,0.0,120,0.021167888427156095,0.007937019245412206,0.004708852169976325,0.023092186204975558
500,10,R2_c0_G0.5_F,2.0,0.0,120,0.0132508117543538,0.005330014778844598,0.0036688499976449546,0.014746305638947065
500,10,R2_c0_G1_L,2.0,0.0,120,0.029772425273759263,0.010035328497199724,0.006014909541354189,0.03198881463135141
500,10,R2_c0_G1_M,2.0,0.0,120,0.023371606118173537,0.007512926808704494,0.004351474328769809,0.024932135299848265
500,10,R2_c0_G1_F,2.0,0.0,120,0.018146935139005275,0.008364498692117948,0.0054376088284505235,0.020708541307415892
500,10,R2_c0_G2_L,2.0,0.0,120,0.016668135337791153,0.00573978800125587,0.003455893117594928,0.0179642728541548
500,10,R2_c0_G2_M,2.0,0.0,120,0.0208187812099998,0.007728981083127253,0.004674455426987509,0.022693817069679413
500,10,R2_c0_G2_F,2.0,0.0,120,0.019574316729216227,0.005455624833719689,0.0033827932320543356,0.02060002446097591
500,10,R2_c0_G4_L,2.0,0.0,120,0.03420987900327179,0.011324989493067131,0.006671465523998127,0.03664805125343601
500,10,R2_c0_G4_M,2.0,0.0,120,0.025500522166022548,0.009644211533031034,0.005487321688475148,0.027810036787938017
500,10,R2_c0_G4_F,2.0,0.0,120,0.02937029655152616,0.008751123842469836,0.005321845176437578,0.031104959799247538
500,10,R2_c0.25_G0.25_L,2.0,0.25,120,0.028015219168672705,0.009956832780157214,0.006267599299633021,0.030385421258582873
500,10,R2_c0.25_G0.25_M,2.0,0.25,120,0.021090963891214405,0.004560711623920595,0.002454453953512601,0.02171757796318429
500,10,R2_c0.25_G0.25_F,2.0,0.25,120,0.02504644272434219,0.008637261235889442,0.005604594072318002,0.027080215093610582
500,10,R2_c0.25_G0.5_L,2.0,0.25,120,0.006721572202931426,0.004194210360734829,0.002250833826890799,0.008236333307096774
500,10,R2_c0.25_G0.5_M,2.0,0.25,120,0.020860292453591243,0.00706296279817397,0.004002227705718106,0.022384259454942056
500,10,R2_c0.25_G0.5_F,2.0,0.25,120,0.02586140765537103,0.007355683541405863,0.004622134043602857,0.0272815433836802
500,10,R2_c0.25_G1_L,2.0,0.25,120,0.034262613209274394,0.01203420548281182,0.007494020759958673,0.03707976689087424
500,10,R2_c0.25_G1_M,2.0,0.25,120,0.014832321345958277,0.00492451923844022,0.0032614682047615046,0.01596514394204473
500,10,R2_c0.25_G1_F,2.0,0.25,120,0.036365438531895174,0.011119112711366896,0.0068750570349950125,0.038643837753768215
500,10,R2_c0.25_G2_L,2.0,0.25,120,0.020505969586636797,0.007225568126351184,0.004981260894450725,0.022305079769756472
500,10,R2_c0.25_G2_M,2.0,0.25,120,0.017656105229717764,0.0055550558833126415,0.0034182581459979754,0.018822358685942495
500,10,R2_c0.25_G2_F,2.0,0.25,120,0.010820838117908507,0.0047367471837649385,0.002933486324469348,0.012170975863616502
500,10,R2_c0.25_G4_L,2.0,0.25,120,0.008938050197160098,0.004961201026458015,0.0030840098741615296,0.010677704521843988
500,10,R2_c0.25_G4_M,2.0,0.25,120,0.016046163105313354,0.006208503773650972,0.0038843927923730686,0.017638406302021667
500,10,R2_c0.25_G4_F,2.0,0.25,120,0.02636087833433364,0.00903826064599584,0.005438059913847228,0.02839293147403223
500,10,R2_c0.5_G0.25_L,2.0,0.5,120,0.02510253595926585,0.006754921661203774,0.004172198589498673,0.026328188682578406
500,10,R2_c0.5_G0.25_M,2.0,0.5,120,0.01370788199184102,0.0022548466973865014,0.0016920878076537157,0.0139947677179639
500,10,R2_c0.5_G0.25_F,2.0,0.5,120,0.022072858697506827,0.006834227759271418,0.0045407002722764826,0.02354858210398984
500,10,R2_c0.5_G0.5_L,2.0,0.5,120,0.028241327975701523,0.008774820949408993,0.005615692687282425,0.030101596184975404
500,10,R2_c0.5_G0.5_M,2.0,0.5,120,0.02098198270608694,0.0059581267920031595,0.0038380989398046797,0.022146644816311272
500,10,R2_c0.5_G0.5_F,2.0,0.5,120,0.02512872236043503,0.007415179706096387,0.0047644854050002995,0.026629643232983655
500,10,R2_c0.5_G1_L,2.0,0.5,120,0.031563252840686076,0.01015878295518454,0.006540158988776567,0.0337966489553935
500,10,R2_c0.5_G1_M,2.0,0.5,120,0.011108549333669285,0.0039011466723785073,0.0027545139906159388,0.012091573966298728
500,10,R2_c0.5_G1_F,2.0,0.5,120,0.01626410319505096,0.0052221593563553555,0.0034926301445236795,0.017435322377543583
500,10,R2_c0.5_G2_L,2.0,0.5,120,0.034228406036186106,0.010417019652608496,0.007012547919800865,0.03645920880310428
500,10,R2_c0.5_G2_M,2.0,0.5,120,0.015193940356178593,0.004025586866036386,0.002536912290157563,0.015921592166962123
500,10,R2_c0.5_G2_F,2.0,0.5,120,0.024697852744348908,0.007272096640485076,0.004636145712722987,0.026160297528883287
500,10,R2_c0.5_G4_L,2.0,0.5,120,0.015602413782788782,0.0042070895008821906,0.0028374499242505733,0.016406890015795806
500,10,R2_c0.5_G4_M,2.0,0.5,120,0.00767370096182874,0.004567059960903869,0.003199417821166817,0.00948577869931944
500,10,R2_c0.5_G4_F,2.0,0.5,120,0.009896103868266616,0.003955347881348626,0.003160227227498885,0.01111596530956425
500,10,R2_c0.75_G0.25_L,2.0,0.75,120,0.008483749346261482,0.002242545439711232,0.001780861840611414,0.008954020433007043
500,10,R2_c0.75_G0.25_M,2.0,0.75,120,0.022872341779254075,0.005140271058462422,0.003260239267308405,0.023668450838649695
500,10,R2_c0.75_G0.25_F,2.0,0.75,120,0.006170209673890042,0.0023060817393854294,0.001693436655651337,0.006801266655204512
500,10,R2_c0.75_G0.5_L,2.0,0.75,120,0.01648070841561295,0.004716808018798937,0.0034175719901559567,0.01747975474869599
500,10,R2_c0.75_G0.5_M,2.0,0.75,120,0.023831416593986916,0.005476498790824756,0.0035566642245182995,0.024709882967914442
500,10,R2_c0.75_G0.5_F,2.0,0.75,120,0.010201754212527345,0.004347098929608691,0.002988561527301911,0.01148497096727256
500,10,R2_c0.75_G1_L,2.0,0.75,120,0.02193884238599975,0.005192683142177006,0.0033869813349774193,0.02279799127151938
500,10,R2_c0.75_G1_M,2.0,0.75,120,0.02750747486738046,0.007139304176368885,0.004778023163024601,0.028817708844540112
500,10,R2_c0.75_G1_F,2.0,0.75,120,0.034527459746073165,0.008414976340804662,0.005535302762709148,0.03596660784683288
