protocol_id,R,c,Gamma,decomposition_id,decomposition,beta,gamma,gamma_c,p_f,U0,I0
R6_c0_G0.25_L,6.0,0.0,0.25,L,"less-frequent detection, complete tracing",0.0001875,0.25,0.0,1.0,8000,160
R6_c0_G0.25_M,6.0,0.0,0.25,M,intermediate decomposition,0.0001875,0.125,0.125,0.0,8000,160
R6_c0_G0.25_F,6.0,0.0,0.25,F,"frequent detection, partial tracing",0.0001875,0.0,0.25,0.0,8000,160
R6_c0_G0.5_L,6.0,0.0,0.5,L,"less-frequent detection, complete tracing",0.000375,0.5,0.0,1.0,8000,160
R6_c0_G0.5_M,6.0,0.0,0.5,M,intermediate decomposition,0.000375,0.25,0.25,0.0,8000,160
R6_c0_G0.5_F,6.0,0.0,0.5,F,"frequent detection, partial tracing",0.000375,0.0,0.5,0.0,8000,160
R6_c0_G1_L,6.0,0.0,1.0,L,"less-frequent detection, complete tracing",0.00075,1.0,0.0,1.0,8000,160
R6_c0_G1_M,6.0,0.0,1.0,M,intermediate decomposition,0.00075,0.5,0.5,0.0,8000,160
R6_c0_G1_F,6.0,0.0,1.0,F,"frequent detection, partial tracing",0.00075,0.0,1.0,0.0,8000,160
R6_c0_G2_L,6.0,0.0,2.0,L,"less-frequent detection, complete tracing",0.0015,2.0,0.0,1.0,8000,160
R6_c0_G2_M,6.0,0.0,2.0,M,intermediate decomposition,0.0015,1.0,1.0,0.0,8000,160
R6_c0_G2_F,6.0,0.0,2.0,F,"frequent detection, partial tracing",0.0015,0.0,2.0,0.0,8000,160
R6_c0_G4_L,6.0,0.0,4.0,L,"less-frequent detection, complete tracing",0.003,4.0,0.0,1.0,8000,160
R6_c0_G4_M,6.0,0.0,4.0,M,intermediate decomposition,0.003,2.0,2.0,0.0,8000,160
R6_c0_G4_F,6.0,0.0,4.0,F,"frequent detection, partial tracing",0.003,0.0,4.0,0.0,8000,160
R6_c0.25_G0.25_L,6.0,0.25,0.25,L,"less-frequent detection, complete tracing",0.0001875,0.1875,0.0625,1.0,8000,160
R6_c0.25_G0.25_M,6.0,0.25,0.25,M,intermediate decomposition,0.0001875,0.09375,0.15625,0.4,8000,160
R6_c0.25_G0.25_F,6.0,0.25,0.25,F,"frequent detection, partial tracing",0.0001875,0.0,0.25,0.25,8000,160
