analytical_table_id,configuration_sha256,R,c,zero_terminal_depth_K,m1_K,difference_from_previous_depth,fixed_point_residual,stable_bessel_cf_difference,simple_root_margin,admissible,root_bracket_left,root_bracket_right,bracket_expansions,bracket_source
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,1.0,160,0.5503743263874502,0.0,0.0,1.1102230246251565e-16,0.7350541249335705,True,0.4381099746308269,0.758109974630827,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.0,20,0.6,nan,0.0,0.0,1.0,True,1.5,1.5,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.25,20,0.6105980002655489,nan,8.881784197001252e-16,1.3322676295501878e-15,0.9398021636969235,True,1.34,1.5,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.5,20,0.6218554906605531,nan,6.661338147750939e-16,4.440892098500626e-16,0.8793172206772182,True,1.1873504999336129,1.5,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.75,20,0.6338245820372448,nan,5.440092820663267e-15,5.773159728050814e-15,0.8187578480475031,True,0.8690722546697234,1.5,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,1.0,20,0.6465534375695178,nan,5.551115123125783e-15,5.440092820663267e-15,0.758421915340409,True,0.7046315634720663,1.3446315634720665,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.0,40,0.6,0.0,0.0,0.0,1.0,True,1.5,1.5,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.25,40,0.6105980002655489,0.0,8.881784197001252e-16,1.3322676295501878e-15,0.9398021636969235,True,1.34,1.5,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.5,40,0.6218554906605531,0.0,6.661338147750939e-16,4.440892098500626e-16,0.8793172206772182,True,1.1873504999336129,1.5,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.75,40,0.6338245820372448,0.0,5.440092820663267e-15,5.773159728050814e-15,0.8187578480475031,True,0.8690722546697234,1.5,4,local_continuation
