analytical_table_id,configuration_sha256,R,R_zero_handling,c,m1_canonical_selected_qss,m1_zeroth_order,m1_first_order,accepted_depth,fixed_point_residual,bessel_cf_difference
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,6.98105,R>0; left boundary is R_to_0_plus limit,1.0,0.8849917874096302,0.8747032032126099,0.8853773774601318,40,2.220446049250313e-16,3.3306690738754696e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.005999999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8853301798873998,0.8750936797401947,0.8857145857617839,40,4.440892098500626e-16,5.551115123125783e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.03095,R>0; left boundary is R_to_0_plus limit,1.0,0.8856665391373486,0.8754817300568425,0.8860497546455756,40,1.1102230246251565e-16,1.2212453270876722e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.055899999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8860008837983537,0.8758673767052719,0.8863829030643775,40,3.3306690738754696e-16,1.9984014443252818e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.08085,R>0; left boundary is R_to_0_plus limit,1.0,0.8863332322783437,0.8762506419497949,0.8867140497317183,40,2.220446049250313e-16,6.661338147750939e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.1057999999999995,R>0; left boundary is R_to_0_plus limit,1.0,0.8866636027579116,0.8766315477806016,0.8870432131256154,40,3.3306690738754696e-16,9.992007221626409e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.13075,R>0; left boundary is R_to_0_plus limit,1.0,0.8869920131938667,0.8770101159179658,0.8873704114923273,40,0.0,1.4432899320127035e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.1556999999999995,R>0; left boundary is R_to_0_plus limit,1.0,0.8873184813227137,0.8773863678163738,0.8876956628500355,40,1.1102230246251565e-16,6.661338147750939e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.18065,R>0; left boundary is R_to_0_plus limit,1.0,0.8876430246640652,0.8777603246685777,0.8880189849924575,40,5.551115123125783e-16,2.220446049250313e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.2056,R>0; left boundary is R_to_0_plus limit,1.0,0.8879656605239958,0.8781320074095739,0.8883403954923857,40,3.3306690738754696e-16,2.220446049250313e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.230549999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8882864059983273,0.8785014367205107,0.8886599117051649,40,0.0,8.881784197001252e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.2555,R>0; left boundary is R_to_0_plus limit,1.0,0.8886052779758566,0.8788686330325237,0.8889775507720981,40,2.220446049250313e-16,2.55351295663786e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.280449999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8889222931415235,0.8792336165305027,0.8892933296237914,40,3.3306690738754696e-16,0.0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.3054,R>0; left boundary is R_to_0_plus limit,1.0,0.889237467979517,0.8795964071567897,0.8896072649834339,40,1.1102230246251565e-16,1.4432899320127035e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.330349999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.889550818776331,0.8799570246148121,0.8899193733700171,40,7.771561172376096e-16,4.440892098500626e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.3553,R>0; left boundary is R_to_0_plus limit,1.0,0.8898623616237504,0.8803154883726497,0.8902296711014926,40,1.1102230246251565e-16,1.887379141862766e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.380249999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8901721124218032,0.8806718176665372,0.8905381742978709,40,5.551115123125783e-16,2.7755575615628914e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.4052,R>0; left boundary is R_to_0_plus limit,1.0,0.8904800868816327,0.8810260315043068,0.8908448988842633,40,5.551115123125783e-16,4.440892098500626e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.430149999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8907863005283465,0.8813781486687663,0.8911498605938668,40,1.1102230246251565e-16,5.218048215738236e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.4551,R>0; left boundary is R_to_0_plus limit,1.0,0.8910907687037835,0.8817281877210205,0.8914530749708929,40,4.440892098500626e-16,9.992007221626409e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.480049999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8913935065692584,0.8820761670037324,0.8917545573734439,40,6.661338147750939e-16,3.3306690738754696e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.505,R>0; left boundary is R_to_0_plus limit,1.0,0.8916945291082383,0.8824221046443269,0.8920543229763341,40,1.1102230246251565e-16,1.1102230246251565e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.5299499999999995,R>0; left boundary is R_to_0_plus limit,1.0,0.8919938511289756,0.8827660185581393,0.8923523867738623,40,0.0,4.440892098500626e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.5549,R>0; left boundary is R_to_0_plus limit,1.0,0.8922914872671006,0.8831079264515074,0.8926487635825301,40,1.1102230246251565e-16,3.6637359812630166e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.5798499999999995,R>0; left boundary is R_to_0_plus limit,1.0,0.8925874519881596,0.8834478458248104,0.8929434680437126,40,3.3306690738754696e-16,2.220446049250313e-16
