analytical_table_id,configuration_sha256,R,c,m1,a,accepted_depth,previous_depth,depth_doubling_difference,fixed_point_residual,continued_fraction_tail_bound_y1,a_posteriori_root_error_estimate,bessel_m1,bessel_cf_difference,simple_root_margin,minimum_moment,minimum_monotonicity_margin,admissible,continuation_predecessor_a,continuation_predictor_a,root_bracket_left,root_bracket_right,bracket_expansions,bracket_source,m0,m2,m3,m4,m5,m6,m7,m8,m9,m10,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.0,0.5,1.0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.5052108385441714e-08,2.505210838544171e-07,True,1.0,1.0,1.0,1.0,0,exact_c0,1.0,0.16666666666666666,0.041666666666666664,0.008333333333333333,0.0013888888888888887,0.00019841269841269839,2.4801587301587298e-05,2.7557319223985884e-06,2.7557319223985883e-07,2.5052108385441714e-08,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,0.09090909090909091
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.001,0.5000416736125003,0.9994999583263875,40,20,0.0,5.440092820663267e-15,2.1346794200063134e-224,5.4414532595601946e-15,0.5000416736124996,6.106226635438361e-15,0.9997499861099537,2.5066977359685118e-08,2.5065932805197685e-07,True,1.0,1.0,0.999,1.0,0,local_continuation,1.0,0.16669445034859895,0.04167673863780768,0.00833590350739742,0.0013893999614893258,0.00019849634352627063,2.4813249254338636e-05,2.7571502464507623e-06,2.7572630541166197e-07,2.5066977359685118e-08,0.5000416736125003,0.3333611159732584,0.2500187531777537,0.20001333549250852,0.16667658883723271,0.1428647970549088,0.1250060772583181,0.111116050066223,0.10000409145878077,0.09091253488585314
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.002,0.5000833611222268,0.9989998332777555,40,20,0.0,8.881784197001252e-16,4.709802151471646e-212,8.886227804665187e-16,0.500083361122227,7.771561172376096e-16,0.9994999444351852,2.5081858862468998e-08,2.507976831887749e-07,True,0.9994999583263875,0.998999916652775,0.998,1.0,0,local_continuation,1.0,0.16672224584434944,0.04168681566496272,0.008338475141521072,0.0013899113540856022,0.0001985800453427629,2.4824919657746195e-05,2.7585696586928564e-06,2.758795420512439e-07,2.5081858862468998e-08,0.5000833611222268,0.3333889083416242,0.25003751271369745,0.2000266753051484,0.1666865140803262,0.14287245352665326,0.12501215625616696,0.11112099038886886,0.10000818401735374,0.09091597976413238
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.003,0.500125062537524,0.9984996248123874,40,20,0.0,6.106226635438361e-15,7.8376314667309905e-205,6.110810507361157e-15,0.5001250625375241,5.995204332975845e-15,0.9992498749687502,2.509675290766028e-08,2.5093614938334795e-07,True,0.9989998332777555,0.9984997082291236,0.997,1.0,0,local_continuation,1.0,0.16675005316218847,0.041696897752066316,0.008341048236935758,0.0013904230669656615,0.00019866380391602478,2.483659852021356e-05,2.7599901602512432e-06,2.7603290229100824e-07,2.509675290766028e-08,0.500125062537524,0.3334167104446547,0.2500562786118579,0.20004001944059285,0.16669644239780346,0.1428801122737207,0.12501823699455586,0.11112593207982938,0.10001227767633811,0.09091942554443012
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.004,0.5001667778667424,0.997999332888533,40,20,0.0,2.7755575615628914e-15,1.0425909930602542e-199,2.7783365156924995e-15,0.5001667778667416,1.9984014443252818e-15,0.9989997777037043,2.5111659509144888e-08,2.5107472675439055e-07,True,0.9984996248123874,0.9979994163470193,0.996,1.0,0,local_continuation,1.0,0.166777872310394,0.041706984903057125,0.008343622794874328,0.0013909351004177868,0.00019874761929997172,2.4848285850154934e-05,2.761411752253759e-06,2.7618638626353546e-07,2.5111659509144888e-08,0.5001667778667424,0.33344452228857957,0.2500750508762657,0.20005336790151762,0.16670637379152242,0.14288777329745658,0.1250243194744948,0.1111308751398858,0.1000163724363535,0.09092287222724833
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.005,0.5002085071182405,0.9974989574644089,40,20,0.0,1.3322676295501878e-14,9.8370710222339e-196,1.3339355123056092e-14,0.5002085071182404,1.3211653993039363e-14,0.9987496526331032,2.512657868082795e-08,2.512134154207571e-07,True,0.997999332888533,0.9974990409646787,0.995,1.0,0,local_continuation,1.0,0.16680570329725225,0.04171707712187793,0.008346198816571004,0.0013914474547305972,0.00019883149154858505,2.48599816559952e-05,2.762834435829722e-06,2.7633999410158506e-07,2.512657868082795e-08,0.5002085071182405,0.333472343879634,0.2500938295109549,0.2000667206906008,0.16671630826334266,0.14289543659920775,0.1250304036969948,0.11113581956982017,0.10002046829802014,0.09092631981308935
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.006,0.5002502503003837,0.9969984984981977,40,20,0.0,6.217248937900877e-15,1.7407587054595543e-192,6.226591940664473e-15,0.5002502503003841,5.88418203051333e-15,0.998499499750003,2.514151043663375e-08,2.5135221550146137e-07,True,0.9974989574644089,0.9969985820402847,0.994,1.0,0,local_continuation,1.0,0.16683354613105741,0.04172717441247572,0.008348776303261403,0.0013919601301930547,0.00019891542071591263,2.4871685946169968e-05,2.7642582121099288e-06,2.764937259380951e-07,2.514151043663375e-08,0.5002502503003837,0.3335001752240591,0.2501126145199635,0.2000800778105229,0.16672624581512543,0.14290310218032215,0.12503648966306768,0.11114076537041517,0.1000245652619588,0.09092976830245597
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.007,0.5002920074215441,0.9964979559480492,40,20,0.0,7.105427357601002e-15,9.705077496465136e-190,7.11788850943678e-15,0.5002920074215433,6.328271240363392e-15,0.9982493190474593,2.5156454790505727e-08,2.5149112711567627e-07,True,0.9969984984981977,0.9964980395319865,0.993,1.0,0,local_continuation,1.0,0.16686140082011158,0.04173727677880153,0.008351355256182502,0.0013924731270944584,0.00019899940685606807,2.4883398729125518e-05,2.7656830822266523e-06,2.76647581906182e-07,2.5156454790505727e-08,0.5002920074215441,0.3335280163281018,0.25013140590733307,0.20009343926396694,0.16673618644873378,0.14291077004214886,0.12504257737372623,0.11114571254245409,0.1000286633287907,0.0909332176958514
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.008,0.5003337784901017,0.9959973297720793,40,20,0.0,1.8207657603852567e-14,2.323331962919029e-187,1.8244162156008788e-14,0.5003337784901019,1.8318679906315083e-14,0.9979991105185283,2.5171411756406668e-08,2.516301503827357e-07,True,0.9964979559480492,0.9959974133979008,0.992,1.0,0,local_continuation,1.0,0.1668892673727252,0.04174738422481071,0.0083539356765727,0.0013929864457244523,0.0001990834500232322,2.4895120013318946e-05,2.7671090473136585e-06,2.7680156213914236e-07,2.5171411756406668e-08,0.5003337784901017,0.3335558671980145,0.250150203677109,0.2001068050536184,0.16674613016603226,0.1429184401860383,0.12504866682998406,0.11115066108672096,0.10003276249913769,0.09093666799377934
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.009000000000000001,0.5003755635144432,0.9954966199283704,40,20,0.0,3.7969627442180354e-14,2.9161341425150395e-185,3.805529469956947e-14,0.5003755635144437,3.8413716652030416e-14,0.997748874156266,2.5186381348318464e-08,2.517692854221325e-07,True,0.9959973297720793,0.9954967035961094,0.991,1.0,0,local_continuation,1.0,0.16691714579721653,0.041757496754462664,0.008356517565671755,0.0013935000863730162,0.00019916755027165142,2.490684980721797e-05,2.7685361085061856e-06,2.7695566677045097e-07,2.5186381348318464e-08,0.5003755635144432,0.3335837278400557,0.2501690078333403,0.20012017518216502,0.16675607696888708,0.14292611261334193,0.1250547580328556,0.1111556110040005,0.10003686277362207,0.09094011919674379
