U0,I0,protocols,estimates,median,q10,q90
500,10,195,195,0.0129264280545649,0.00671297697995786,0.026509061412821517
1000,20,195,195,0.0067590549681798,0.00289935716295504,0.01303360802880498
2000,40,195,195,0.0033350991778162,0.00157153672232492,0.006731513482810479
8000,160,195,195,0.0013372230582946,0.00066351744968146,0.0027170131705205
