analytical_table_id,configuration_sha256,R,c,epsilon,retained_order_p,m1_canonical_selected_qss,m1_perturbative,signed_error_approximation_minus_qss,absolute_error_e_p,first_omitted_term_indicator,canonical_accepted_depth,canonical_fixed_point_residual,canonical_depth_doubling_difference,canonical_bessel_cf_difference,canonical_root_error_estimate
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.005,0.00125,1,0.5002085071182272,0.5002083333333334,-1.737848938088149e-07,1.737848938088149e-07,1.7361111111111112e-07,40,1.3322676295501878e-14,0.0,1.3211653993039363e-14,1.3339355123056092e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.005,0.00125,2,0.5002085071182272,0.5002085069444445,-1.7378265493306344e-10,1.7378265493306344e-10,1.7361111111111115e-10,40,1.3322676295501878e-14,0.0,1.3211653993039363e-14,1.3339355123056092e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.006,0.0015,0,0.5002502503003899,0.5,-0.00025025030038994256,0.00025025030038994256,0.00025,40,6.217248937900877e-15,0.0,5.88418203051333e-15,6.226591940664473e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.006,0.0015,1,0.5002502503003899,0.50025,-2.5030038997009285e-07,2.5030038997009285e-07,2.5e-07,40,6.217248937900877e-15,0.0,5.88418203051333e-15,6.226591940664473e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.006,0.0015,2,0.5002502503003899,0.50025025,-3.0038993514835965e-10,3.0038993514835965e-10,3e-10,40,6.217248937900877e-15,0.0,5.88418203051333e-15,6.226591940664473e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.007,0.00175,0,0.500292007421537,0.5,-0.00029200742153701054,0.00029200742153701054,0.00029166666666666664,40,7.105427357601002e-15,0.0,6.328271240363392e-15,7.11788850943678e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.007,0.00175,1,0.500292007421537,0.5002916666666667,-3.40754870320481e-07,3.40754870320481e-07,3.402777777777778e-07,40,7.105427357601002e-15,0.0,6.328271240363392e-15,7.11788850943678e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.007,0.00175,2,0.500292007421537,0.5002920069444444,-4.770925876584897e-10,4.770925876584897e-10,4.76388888888889e-10,40,7.105427357601002e-15,0.0,6.328271240363392e-15,7.11788850943678e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.008,0.002,0,0.5003337784900835,0.5,-0.0003337784900835361,0.0003337784900835361,0.0003333333333333333,40,1.8207657603852567e-14,0.0,1.8318679906315083e-14,1.8244162156008788e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.008,0.002,1,0.5003337784900835,0.5003333333333333,-4.4515675023948376e-07,4.4515675023948376e-07,4.444444444444444e-07,40,1.8207657603852567e-14,0.0,1.8318679906315083e-14,1.8244162156008788e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.008,0.002,2,0.5003337784900835,0.5003337777777778,-7.123057699232049e-10,7.123057699232049e-10,7.111111111111112e-10,40,1.8207657603852567e-14,0.0,1.8318679906315083e-14,1.8244162156008788e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.009000000000000001,0.0022500000000000003,0,0.5003755635144053,0.5,-0.0003755635144052638,0.0003755635144052638,0.000375,40,3.7969627442180354e-14,0.0,3.8413716652030416e-14,3.805529469956947e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.009000000000000001,0.0022500000000000003,1,0.5003755635144053,0.500375,-5.635144052495988e-07,5.635144052495988e-07,5.625000000000001e-07,40,3.7969627442180354e-14,0.0,3.8413716652030416e-14,3.805529469956947e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.009000000000000001,0.0022500000000000003,2,0.5003755635144053,0.5003755625,-1.0144052264848824e-09,1.0144052264848824e-09,1.0125000000000004e-09,40,3.7969627442180354e-14,0.0,3.8413716652030416e-14,3.805529469956947e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.01,0.0025,0,0.500417362502914,0.5,-0.00041736250291402044,0.00041736250291402044,0.00041666666666666664,40,4.8405723873656825e-14,0.0,4.785061236134425e-14,4.8527109101337235e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.01,0.0025,1,0.500417362502914,0.5004166666666666,-6.958362473996615e-07,6.958362473996615e-07,6.944444444444445e-07,40,4.8405723873656825e-14,0.0,4.785061236134425e-14,4.8527109101337235e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.01,0.0025,2,0.500417362502914,0.500417361111111,-1.3918030061788045e-09,1.3918030061788045e-09,1.3888888888888892e-09,40,4.8405723873656825e-14,0.0,4.785061236134425e-14,4.8527109101337235e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.011,0.00275,0,0.5004591754639803,0.5,-0.0004591754639803325,0.0004591754639803325,0.00045833333333333327,40,8.004708007547379e-14,0.0,8.038014698286133e-14,8.026795196177179e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.011,0.00275,1,0.5004591754639803,0.5004583333333333,-8.421306469941214e-07,8.421306469941214e-07,8.402777777777776e-07,40,8.004708007547379e-14,0.0,8.038014698286133e-14,8.026795196177179e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.011,0.00275,2,0.5004591754639803,0.5004591736111111,-1.8528691914099227e-09,1.8528691914099227e-09,1.848611111111111e-09,40,8.004708007547379e-14,0.0,8.038014698286133e-14,8.026795196177179e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.012,0.003,0,0.5005010024060249,0.5,-0.0005010024060249085,0.0005010024060249085,0.0005,40,1.20570220474292e-13,0.0,1.2090328738167955e-13,1.2093326236978609e-13
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.012,0.003,1,0.5005010024060249,0.5005,-1.002406024963598e-06,1.002406024963598e-06,1e-06,40,1.20570220474292e-13,0.0,1.2090328738167955e-13,1.2093326236978609e-13
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.012,0.003,2,0.5005010024060249,0.500501,-2.4060249348423213e-09,2.4060249348423213e-09,2.4e-09,40,1.20570220474292e-13,0.0,1.2090328738167955e-13,1.2093326236978609e-13
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.013000000000000001,0.0032500000000000003,0,0.5005428433374481,0.5,-0.0005428433374481401,0.0005428433374481401,0.0005416666666666666,40,1.8474111129762605e-13,0.0,1.8474111129762605e-13,1.85343914534501e-13
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.013000000000000001,0.0032500000000000003,1,0.5005428433374481,0.5005416666666667,-1.1766707814775401e-06,1.1766707814775401e-06,1.1736111111111113e-06,40,1.8474111129762605e-13,0.0,1.8474111129762605e-13,1.85343914534501e-13
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.013000000000000001,0.0032500000000000003,2,0.5005428433374481,0.5005428402777777,-3.059670405924919e-09,3.059670405924919e-09,3.05138888888889e-09,40,1.8474111129762605e-13,0.0,1.8474111129762605e-13,1.85343914534501e-13
