protocol_id,label,Gamma,d,beta,gamma,gamma_c,p_f,R,c,U0,I0,n_replicates,E_U,E_I,E_M1,E_trajectory
A,frequent partial tracing,1.0,1.0,0.0005,0.0,1.0,0.5,4.0,0.5,8000,160,120,0.0008976064477786824,0.0008371905038075194,0.0009001091920927346,0.0015220978393155902
B,less-frequent complete tracing,1.0,0.5,0.0005,0.5,0.5,1.0,4.0,0.5,8000,160,120,0.001839583356599946,0.0011089017282957454,0.0008333156244916203,0.002303941166548893
