R,c_star,growth_rate_check,qss_identity_residual,qss_admissibility_margin,continued_fraction_depth,depth_c_difference
1.0,0.0,0.0,0.0,8.220635246624326e-18,40,0.0
1.0027907514856846,0.005571149887019388,0.0,1.1102230246251565e-16,8.621838391539171e-18,40,0.0
1.0055815029713693,0.011121718136474808,8.881784197001252e-16,9.967251120259686e-16,9.041342659329631e-18,40,0.0
1.0083722544570537,0.01665188998601243,0.0,0.0,9.47992425073085e-18,40,0.0
1.0111630059427383,0.0221618486173868,-1.1102230246251565e-16,1.1040416905540079e-16,9.938389783903246e-18,40,0.0
1.013953757428423,0.02765177518462765,0.0,0.0,1.0417577387292512e-17,40,0.0
1.0167445089141076,0.03312184884174737,-2.220446049250313e-16,1.852091811902333e-18,1.0918357828139163e-17,40,0.0
1.019535260399792,0.03857224676999105,-4.440892098500626e-16,1.067034489293251e-16,1.1441635677679152e-17,40,0.0
1.0223260118854767,0.04400314420464023,6.661338147750939e-16,2.1464547533952028e-16,1.198835051410521e-17,40,0.0
1.0251167633711613,0.04941471446138788,0.0,0.0,1.2559478164385147e-17,40,0.0
1.027907514856846,0.0548071289622607,0.0,0.0,1.3156031986061915e-17,40,0.0
1.0306982663425306,0.060180557261149965,-1.1102230246251565e-16,1.093298457300529e-16,1.3779064190188431e-17,40,0.0
1.033489017828215,0.06553516706890815,0.0,1.1102230246251565e-16,1.442966720657967e-17,40,0.0
1.0362797693138996,0.07087112427804977,0.0,0.0,1.510897509259466e-17,40,0.0
1.0390705207995843,0.07618859298704905,0.0,0.0,1.581816498669081e-17,40,0.0
1.041861272285269,0.08148773552425155,-1.1102230246251565e-16,1.0872018766100435e-16,1.6558458608025025e-17,40,0.0
1.0446520237709536,0.0867687124714006,0.0,0.0,1.7331123803407514e-17,40,0.0
1.047442775256638,0.09203168268678791,0.0,0.0,1.8137476142946995e-17,40,0.0
1.0502335267423226,0.09727680332803741,0.0,0.0,1.8978880565759067e-17,40,0.0
1.0530242782280073,0.1025042298745229,0.0,0.0,1.9856753077142653e-17,40,0.0
1.055815029713692,0.10771411614943435,0.0,2.220446049250313e-16,2.07725624986669e-17,40,0.0
1.0586057811993763,0.11290661434149338,0.0,1.1102230246251565e-16,2.1727832272642358e-17,40,0.0
1.061396532685061,0.11808187502632832,0.0,0.0,2.272414232248955e-17,40,0.0
1.0641872841707456,0.12324004718750962,0.0,1.1102230246251565e-16,2.376313097055362e-17,40,0.0
1.0669780356564302,0.12838127823725906,0.0,0.0,2.484649691495158e-17,40,0.0
1.0697687871421149,0.1335057140368335,-1.1102230246251565e-16,3.812739390120658e-18,2.5976001267076944e-17,40,0.0
1.0725595386277993,0.13861349891659006,-1.1102230246251565e-16,3.962738168771285e-18,2.7153469651427072e-17,40,0.0
1.075350290113484,0.1437047756957417,0.0,0.0,2.838079436945596e-17,40,0.0
1.0781410415991686,0.14877968570180197,0.0,2.220446049250313e-16,2.9659936629199136e-17,40,0.0
1.0809317930848532,0.15383836878973298,-1.1102230246251565e-16,1.066107295893853e-16,3.0992928842456645e-17,40,0.0
1.0837225445705378,0.1588809633607955,0.0,1.1102230246251565e-16,3.2381876991364037e-17,40,0.0
1.0865132960562223,0.16390760638110907,0.0,0.0,3.382896306622514e-17,40,0.0
1.089304047541907,0.16891843339992946,-1.1102230246251565e-16,1.0616363818683459e-16,3.533644757652203e-17,40,0.0
1.0920947990275915,0.17391357856764103,0.0,2.220446049250313e-16,3.690667213706563e-17,40,0.0
1.0948855505132762,0.17889317465347976,0.0,0.0,3.8542062131296716e-17,40,0.0
1.0976763019989606,0.1838573530629824,-1.1102230246251565e-16,1.0571829111965264e-16,4.0245129453789797e-17,40,0.0
1.1004670534846452,0.18880624385517392,0.0,1.1102230246251565e-16,4.201847533406794e-17,40,0.0
1.1032578049703299,0.19373997575948954,0.0,1.1102230246251565e-16,4.3864793243875156e-17,40,0.0
1.1060485564560145,0.1986586761924457,0.0,0.0,4.578687189011501e-17,40,0.0
1.1088393079416992,0.20356247127405672,-1.1102230246251565e-16,5.895092381959862e-18,4.77875982957032e-17,40,0.0
1.1116300594273836,0.20845148584400527,0.0,0.0,4.986996097064278e-17,40,0.0
1.1144208109130682,0.2133258434775717,-1.1102230246251565e-16,1.0483283373426717e-16,5.203705317567912e-17,40,0.0
1.1172115623987529,0.2181856665013211,0.0,0.0,5.429207628094354e-17,40,0.0
1.1200023138844375,0.2230310760085602,0.0,2.220446049250313e-16,5.663834322205773e-17,40,0.0
1.122793065370122,0.2278621918745616,0.0,0.0,5.907928205621714e-17,40,0.0
1.1255838168558066,0.2326791327715643,-1.1102230246251565e-16,6.7758919114057915e-18,6.1618439620835e-17,40,0.0
1.1283745683414912,0.23748201618354786,-1.1102230246251565e-16,3.261448951487599e-16,6.425948529738492e-17,40,0.0
1.1311653198271758,0.2422709584207924,-1.1102230246251565e-16,1.0395436413258228e-16,6.700621488314014e-17,40,0.0
1.1339560713128605,0.2470460746342217,0.0,0.0,6.986255457356376e-17,40,0.0
1.1367468227985449,0.25180747882953564,-1.1102230246251565e-16,1.1838151017612593e-16,7.283256505817468e-17,40,0.0
1.1395375742842295,0.25655528388113663,-1.1102230246251565e-16,1.0351775149887875e-16,7.592044573276757e-17,40,0.0
1.1423283257699142,0.26128960154584957,0.0,0.0,7.913053903093077e-17,40,0.0
1.1451190772555988,0.2660105424764441,-1.1102230246251565e-16,3.2527225290637844e-16,8.246733487787902e-17,40,0.0
1.1479098287412834,0.2707182162349589,-1.1102230246251565e-16,1.0308288775045335e-16,8.59354752696744e-17,40,0.0
1.1507005802269679,0.2754127313058317,-1.1102230246251565e-16,8.083980568273307e-18,8.953975898097876e-17,40,0.0
1.1534913317126525,0.28009419510884215,-1.1102230246251565e-16,1.0279395042855969e-16,9.328514640455743e-17,40,0.0
1.1562820831983371,0.2847627140118624,0.0,0.0,9.717676452580927e-17,40,0.0
1.1590728346840218,0.2894183933434284,0.0,0.0,1.0121991203568686e-16,40,0.0
1.1618635861697062,0.2940613374051287,0.0,2.220446049250313e-16,1.0542006458542756e-16,40,0.0
1.1646543376553908,0.2986916494838158,0.0,1.1102230246251565e-16,1.0978288018660227e-16,40,0.0
1.1674450891410755,0.3033094318636417,-2.220446049250313e-16,9.312771642482059e-17,1.1431420476005485e-16,40,0.0
1.1702358406267601,0.3079147858379225,0.0,0.0,1.190200778373889e-16,40,0.0
1.1730265921124445,0.31250781172083425,0.0,0.0,1.2390673841873073e-16,40,0.0
1.1758173435981292,0.31708860885894313,0.0,0.0,1.2898063099058673e-16,40,0.0
1.1786080950838138,0.3216572756425694,-2.220446049250313e-16,9.198441141262726e-17,1.342484117076736e-16,40,0.0
1.1813988465694985,0.32621390951699397,-1.1102230246251565e-16,9.661372430865382e-18,1.3971695474271266e-16,40,0.0
1.184189598055183,0.33075860699350507,-1.1102230246251565e-16,1.0121869762541287e-16,1.4539335880823516e-16,40,0.0
1.1869803495408675,0.3352914636602899,0.0,1.1102230246251565e-16,1.5128495385454486e-16,40,0.0
1.1897711010265521,0.33981257419317434,-2.220446049250313e-16,4.23914237578933e-16,1.5739930794807253e-16,40,0.0
1.1925618525122368,0.3443220323662097,-1.1102230246251565e-16,1.0079316743972938e-16,1.6374423433443298e-16,40,0.0
1.1953526039979214,0.348819931062114,-2.220446049250313e-16,2.0130342612439457e-16,1.7032779869060235e-16,40,0.0
1.198143355483606,0.3533063622825672,0.0,0.0,1.7715832657071148e-16,40,0.0
1.2009341069692905,0.35778141715836204,0.0,2.220446049250313e-16,1.8424441105004553e-16,40,0.0
1.2037248584549751,0.36224518595941696,0.0,0.0,1.915949205719458e-16,40,0.0
1.2065156099406598,0.3666977581046457,0.0,1.1102230246251565e-16,1.9921900700238823e-16,40,0.0
1.2093063614263444,0.3711392221716957,0.0,1.1102230246251565e-16,2.071261138971293e-16,40,0.0
1.212097112912029,0.375569665906549,-2.220446049250313e-16,8.859184040205969e-17,2.1532598498639732e-16,40,0.0
1.2148878643977135,0.3799891762329925,-2.220446049250313e-16,8.83116546727692e-17,2.238286728822081e-16,40,0.0
1.217678615883398,0.38439783926195914,-1.1102230246251565e-16,9.952708018507829e-17,2.326445480135033e-16,40,0.0
1.2204693673690827,0.38879574030073905,-2.220446049250313e-16,8.775245009083699e-17,2.4178430779438546e-16,40,0.0
1.2232601188547674,0.393182963862067,-2.220446049250313e-16,1.9849573366704916e-16,2.512589860308623e-16,40,0.0
1.226050870340452,0.3975595936730856,0.0,2.220446049250313e-16,2.610799625716005e-16,40,0.0
1.2288416218261364,0.40192571268418653,-1.1102230246251565e-16,1.2307517362267354e-16,2.7125897320829783e-16,40,0.0
1.231632373311821,0.40628140307773314,-2.220446049250313e-16,1.9766101038310562e-16,2.818081198314217e-16,40,0.0
1.2344231247975057,0.41062674627666235,-2.220446049250313e-16,1.9738354700083667e-16,2.92739880847125e-16,40,0.0
1.2372138762831904,0.414961822952974,-2.220446049250313e-16,8.608416996763774e-17,3.0406712186133486e-16,40,0.0
1.2400046277688748,0.41928671303610293,-1.1102230246251565e-16,1.2607409141858354e-17,3.15803106637054e-16,40,0.0
1.2427953792545594,0.42360149572118266,-2.220446049250313e-16,1.9655348960259357e-16,3.279615083310966e-16,40,0.0
1.245586130740244,0.42790624947719247,-1.1102230246251565e-16,3.2018339556517036e-16,3.405564210165556e-16,40,0.0
1.2483768822259287,0.4322010520550015,-3.3306690738754696e-16,7.195848753297554e-17,3.5360237149746176e-16,40,0.0
1.251167633711613,0.4364859804953017,-3.3306690738754696e-16,2.935903959601369e-16,3.6711433142217375e-16,40,0.0
1.2539583851972977,0.44076111113643873,-3.3306690738754696e-16,2.9317828236730845e-16,3.8110772970223337e-16,40,0.0
1.2567491366829824,0.44502651962213424,-2.220446049250313e-16,8.415553194884952e-17,3.955984652434518e-16,40,0.0
1.259539888168667,0.44928228090911043,-2.220446049250313e-16,1.9490386909593734e-16,4.1060291999624406e-16,40,0.0
1.2623306396543517,0.45352846927461193,-3.3306690738754696e-16,1.8092313591694482e-16,4.2613797233225285e-16,40,0.0
1.265121391140036,0.4577651583238273,-3.3306690738754696e-16,5.135802606773475e-16,4.4222101075450555e-16,40,0.0
1.2679121426257207,0.46199242099721755,-1.1102230246251565e-16,9.704215189603542e-17,4.588699479484829e-16,40,0.0
1.2707028941114054,0.46621032957774117,-2.220446049250313e-16,8.27895896104796e-17,4.761032351815643e-16,40,0.0
1.27349364559709,0.47041895569799214,-2.220446049250313e-16,4.155844735491441e-16,4.939398770585343e-16,40,0.0
1.2762843970827746,0.47461837034723964,-3.3306690738754696e-16,5.119469550098913e-16,5.123994466409147e-16,40,0.0
