c,lower_bracketing_R,upper_bracketing_R,lower_ABM_growth,upper_ABM_growth,analytical_critical_R,inferred_critical_R,bootstrap_95_low,bootstrap_95_high
0.25,1.05568742,1.21568742,-0.07394098051138456,0.06513912769790281,1.1356874243475934,1.1407503167301272,1.130968760576511,1.150550953602526
0.5,1.21328167,1.37328167,-0.06547856811025451,0.07543259350893096,1.293281671313828,1.2876304354012378,1.2761512031961937,1.2976866448606919
0.75,1.39215241,1.55215241,-0.06091231764246546,0.0719876311804656,1.4721524071653214,1.4654855520298702,1.4529712438312659,1.4770676028695926
1.0,1.58978036,1.74978036,-0.08295830717847115,0.0668724959210453,1.669780356564302,1.6783691473119076,1.6658861546412655,1.6908827099936439
