R,c,k,window_start,window_end,valid_replicate_count,abm_mean,bootstrap_95_lower,bootstrap_95_upper,qss_target,signed_discrepancy,absolute_relative_discrepancy
1.0,0.0,1,2.75,3.0,120,0.4971955932599449,0.49027768412031075,0.5039642057785243,0.5,-0.00280440674005511,0.00560881348011022
1.0,0.0,2,2.75,3.0,120,0.1636534759042321,0.15679099598824758,0.1706250151480889,0.16666666666666666,-0.003013190762434559,0.018079144574607353
1.0,0.0,3,2.75,3.0,120,0.040722936157021175,0.037147643953672815,0.04446743702077015,0.041666666666666664,-0.0009437305096454893,0.022649532231491742
1.0,0.0,1,3.0,3.25,120,0.5032875282539246,0.49673511047574076,0.5099466778405943,0.5,0.003287528253924643,0.006575056507849286
1.0,0.0,2,3.0,3.25,120,0.16842355305181503,0.16204388829413505,0.1746002938586924,0.16666666666666666,0.0017568863851483707,0.010541318310890224
1.0,0.0,3,3.0,3.25,120,0.04213959006273175,0.03896021080057222,0.04558789996893533,0.041666666666666664,0.0004729233960650836,0.011350161505562006
1.0,0.25,1,2.75,3.0,120,0.50998796041196,0.5018527896553928,0.5182679588097563,0.5108736156527343,-0.0008856552407742191,0.001733609279552699
1.0,0.25,2,2.75,3.0,120,0.17535685030623877,0.1674265937127638,0.18334094884121707,0.17400292594822012,0.0013539243580186489,0.0077810436269419424
1.0,0.25,3,2.75,3.0,120,0.047828800352679814,0.042908200687434034,0.05295230168057406,0.04435285514561753,0.003475945207062285,0.0783702694144537
1.0,0.25,1,3.0,3.25,120,0.5097168262487697,0.5016416748295722,0.5176883994150121,0.5108736156527343,-0.0011567894039645754,0.0022643357740966246
1.0,0.25,2,3.0,3.25,120,0.17571038630159433,0.1681706775410938,0.18357893566580108,0.17400292594822012,0.0017074603533742128,0.009812825526177184
1.0,0.25,3,3.0,3.25,120,0.04607162505466002,0.041354772151592396,0.050888423022347924,0.04435285514561753,0.001718769909042489,0.038752181869678784
1.0,0.5,1,2.75,3.0,120,0.5136055414420088,0.5033701730608641,0.5238422971765454,0.5227637291717173,-0.009158187729708556,0.017518789500218512
1.0,0.5,2,2.75,3.0,120,0.1774030845324128,0.16729999115382677,0.18742540848068268,0.1822269998506533,-0.0048239153182405015,0.0264720119531903
1.0,0.5,3,2.75,3.0,120,0.04605133775295087,0.040503159095724106,0.05174952608440268,0.047427125237216046,-0.001375787484265173,0.02900845196464898
1.0,0.5,1,3.0,3.25,120,0.5167104526529929,0.5055374523304315,0.5276649137084751,0.5227637291717173,-0.006053276518724449,0.011579373588744274
1.0,0.5,2,3.0,3.25,120,0.17746281749884332,0.16705189588338837,0.18833054602323113,0.1822269998506533,-0.004764182351809976,0.026144217682969748
1.0,0.5,3,3.0,3.25,120,0.046236654432037436,0.040105296544005575,0.05276510665067829,0.047427125237216046,-0.0011904708051786103,0.02510105344197519
1.0,0.75,1,2.75,3.0,120,0.5208278714097396,0.5076561084807354,0.5333667183020576,0.5358533671588979,-0.015025495749158235,0.028040312275769818
1.0,0.75,2,2.75,3.0,120,0.174366445316505,0.1629236622120911,0.1854612366804314,0.19152985200513514,-0.017163406688630145,0.08961217538125583
1.0,0.75,3,2.75,3.0,120,0.040804563456693387,0.03466219956278068,0.04697082821595331,0.0509836642997209,-0.010179100843027512,0.1996541634039285
1.0,0.75,1,3.0,3.25,120,0.5291741880732059,0.515940780776279,0.5423828577763286,0.5358533671588979,-0.006679179085691933,0.01246456492585842
1.0,0.75,2,3.0,3.25,120,0.17918351317636058,0.16729507309582084,0.19134034688701473,0.19152985200513514,-0.012346338828774561,0.06446169461063199
1.0,0.75,3,3.0,3.25,120,0.043108568265232,0.03702516924745753,0.0492490430732266,0.0509836642997209,-0.007875096034488896,0.1544631234858497
1.0,1.0,1,2.75,3.0,120,0.5326441082768238,0.5203013645394143,0.54515184009837,0.5503743263874501,-0.01773021811062625,0.032214834996036154
1.0,1.0,2,2.75,3.0,120,0.18253096287300805,0.16945708626006528,0.19476464887973824,0.20216324637153923,-0.01963228349853119,0.09711104194701457
1.0,1.0,3,2.75,3.0,120,0.04442714364416685,0.037059431130309975,0.05222097626918754,0.05515004781486884,-0.010722904170701993,0.1944314573705777
1.0,1.0,1,3.0,3.25,120,0.5318461040618907,0.5179404893958499,0.5462733118396108,0.5503743263874501,-0.018528222325559396,0.03366476493766531
1.0,1.0,2,3.0,3.25,120,0.1861052170096163,0.17177091629895289,0.20057282156411163,0.20216324637153923,-0.016058029361922938,0.07943100266806759
1.0,1.0,3,3.0,3.25,120,0.04822373906989846,0.04012797672784506,0.056553254398588985,0.05515004781486884,-0.006926308744970383,0.12559025820287686
1.5,0.0,1,2.75,3.0,120,0.6001971531392732,0.596559578494462,0.6037157182539923,0.6,0.00019715313927326505,0.0003285885654554418
1.5,0.0,2,2.75,3.0,120,0.25914407665389727,0.2550569764238926,0.26327802579516035,0.2571428571428571,0.002001219511040153,0.007782520320711707
1.5,0.0,3,2.75,3.0,120,0.0869392066771366,0.08400077975618778,0.09002113649130968,0.0857142857142857,0.0012249209628509006,0.014290744566593842
1.5,0.0,1,3.0,3.25,120,0.6008463397195274,0.5980769953824383,0.6036508618586305,0.6,0.0008463397195274114,0.0014105661992123524
1.5,0.0,2,3.0,3.25,120,0.2586148276502032,0.25492674859868664,0.2621563519203869,0.2571428571428571,0.0014719705073460987,0.005724329750790384
1.5,0.0,3,3.0,3.25,120,0.08718269694181738,0.08466795194398159,0.08985189834953218,0.0857142857142857,0.0014684112275316769,0.0171314643212029
1.5,0.25,1,2.75,3.0,120,0.6083610222500421,0.6038456066630866,0.6128606381267747,0.6105980002655472,-0.0022369780155051533,0.0036635855579813534
1.5,0.25,2,2.75,3.0,120,0.263217208975159,0.2576778022882565,0.2688695146331449,0.2668499152728066,-0.0036327062976476143,0.013613293802000341
1.5,0.25,3,2.75,3.0,120,0.08909794105612681,0.08521100857484998,0.09288100828661035,0.0906272124105973,-0.0015292713544704933,0.01687430644497757
1.5,0.25,1,3.0,3.25,120,0.6112837279517168,0.6074025013076864,0.6151704221717489,0.6105980002655472,0.0006857276861695905,0.0011230427971781263
1.5,0.25,2,3.0,3.25,120,0.26483794813449185,0.2597211424564534,0.27000341615371365,0.2668499152728066,-0.002011967138314752,0.007539695623503846
1.5,0.25,3,3.0,3.25,120,0.08940760039958007,0.0858298287330188,0.09317791971556835,0.0906272124105973,-0.0012196120110172376,0.013457459173428409
1.5,0.5,1,2.75,3.0,120,0.6160629877586288,0.610859108400481,0.6212807652409427,0.621855490660552,-0.0057925029019232355,0.009314869754981627
1.5,0.5,2,2.75,3.0,120,0.2729062183079138,0.26679271983952185,0.27896969420850554,0.27742679796191416,-0.004520579654000378,0.016294675522373202
1.5,0.5,3,2.75,3.0,120,0.09274662699369968,0.0887071015972723,0.09690030280478296,0.09609826381724978,-0.003351636823550108,0.034877183940845394
1.5,0.5,1,3.0,3.25,120,0.615146832058244,0.6098303015330663,0.6205580723742371,0.621855490660552,-0.00670865860230796,0.010788131170445787
1.5,0.5,2,3.0,3.25,120,0.2684310759102379,0.26180050656174786,0.2751408275996572,0.27742679796191416,-0.008995722051676258,0.03242556998012576
1.5,0.5,3,3.0,3.25,120,0.08956184404822302,0.08528484573850686,0.09389510751005885,0.09609826381724978,-0.006536419769026761,0.06801808387981993
1.5,0.75,1,2.75,3.0,120,0.6288043925803668,0.6218825081398871,0.635989913161934,0.6338245820372387,-0.005020189456871882,0.00792047137196224
1.5,0.75,2,2.75,3.0,120,0.2833835693737663,0.2743275702947882,0.29264352351649914,0.28898499400388566,-0.005601424630119367,0.019383098591077886
1.5,0.75,3,2.75,3.0,120,0.09900264514690268,0.09222681938240238,0.10582940371937855,0.10221831842922406,-0.003215673282321377,0.03145887480577083
1.5,0.75,1,3.0,3.25,120,0.6299285270423906,0.6237798578564444,0.6362320655252424,0.6338245820372387,-0.0038960549948481304,0.006146897904031163
1.5,0.75,2,3.0,3.25,120,0.28359515989354117,0.27590478741298985,0.2913537158857898,0.28898499400388566,-0.0053898341103444936,0.018650913445948762
1.5,0.75,3,3.0,3.25,120,0.09875445909975657,0.09312609591135192,0.10466741259219303,0.10221831842922406,-0.0034638593294674946,0.033886874512280986
1.5,1.0,1,2.75,3.0,120,0.6368844269336534,0.6280956019818829,0.6450170152929275,0.646553437569525,-0.009669010635871556,0.014954696818593329
1.5,1.0,2,2.75,3.0,120,0.2895533308468894,0.2786680513863453,0.29985649282268156,0.3016477537091572,-0.012094422862267806,0.04009452320977338
1.5,1.0,3,2.75,3.0,120,0.09865956031338305,0.0914086131773662,0.10608837901213868,0.109094410468019,-0.010434850154635952,0.09564972311477797
1.5,1.0,1,3.0,3.25,120,0.641968261266274,0.6335090996014586,0.6504425647205562,0.646553437569525,-0.0045851763032509485,0.007091720555206076
1.5,1.0,2,3.0,3.25,120,0.29588630148727296,0.286170674490114,0.30581777035632624,0.3016477537091572,-0.0057614522218842334,0.019099934115336763
1.5,1.0,3,3.0,3.25,120,0.10415913896173118,0.09705234335235087,0.11159102086627486,0.109094410468019,-0.004935271506287822,0.045238536833512616
2.0,0.0,1,2.75,3.0,120,0.666566608025992,0.6650044123229826,0.668157969037488,0.6666666666666666,-0.00010005864067463843,0.00015008796101195765
2.0,0.0,2,2.75,3.0,120,0.332792301621127,0.33063918270384074,0.33502713748054236,0.3333333333333333,-0.0005410317122063191,0.0016230951366189572
2.0,0.0,3,2.75,3.0,120,0.13286511607334536,0.1309852155184364,0.1348170175773763,0.13333333333333333,-0.0004682172599879686,0.0035116294499097644
2.0,0.0,1,3.0,3.25,120,0.6680779005436129,0.6666052620444534,0.6696301420040387,0.6666666666666666,0.001411233876946305,0.0021168508154194576
2.0,0.0,2,3.0,3.25,120,0.3350803540663427,0.33290348662691194,0.33721161667125843,0.3333333333333333,0.0017470207330093634,0.00524106219902809
2.0,0.0,3,3.0,3.25,120,0.13481865140429858,0.13293126954909038,0.13667722633398022,0.13333333333333333,0.001485318070965247,0.011139885532239352
2.0,0.25,1,2.75,3.0,120,0.6743942075101353,0.6722941998828009,0.6764362115547731,0.6761067417004443,-0.001712534190308923,0.002532934645795439
2.0,0.25,2,2.75,3.0,120,0.34274353530815277,0.3396858284061683,0.3459102891043846,0.3438394257674556,-0.0010958904593028063,0.003187215825691774
2.0,0.25,3,2.75,3.0,120,0.13916900304995347,0.13652189355636551,0.14190324309280203,0.13989527514805467,-0.0007262720981011939,0.005191541296391619
2.0,0.25,1,3.0,3.25,120,0.6735633390614557,0.6715478092719792,0.6756187939398601,0.6761067417004443,-0.0025434026389885567,0.0037618359382007704
2.0,0.25,2,3.0,3.25,120,0.3425442879780931,0.3396103095865321,0.3456004445195159,0.3438394257674556,-0.001295137789362466,0.0037666936724073917
2.0,0.25,3,3.0,3.25,120,0.13911346029001148,0.13657825327159806,0.14170138819465716,0.13989527514805467,-0.0007818148580431838,0.005588572288919477
2.0,0.5,1,2.75,3.0,120,0.6858745166586818,0.683299355361802,0.6884737439828049,0.6859094306187231,-3.491396004129399e-05,5.0901705797804715e-05
2.0,0.5,2,2.75,3.0,120,0.3537964790985368,0.3501832282569817,0.35756914257799643,0.3550151632993604,-0.0012186842008236054,0.0034327666162134347
2.0,0.5,3,2.75,3.0,120,0.14618377046525102,0.14279917215878468,0.1494433817751375,0.14702466459968833,-0.0008408941344373033,0.005719408622538602
2.0,0.5,1,3.0,3.25,120,0.6854064616075282,0.6828821229945441,0.688013754000278,0.6859094306187231,-0.0005029690111949536,0.0007332877909861241
2.0,0.5,2,3.0,3.25,120,0.35488116804925324,0.35134310491460347,0.35834734481239283,0.3550151632993604,-0.00013399525010715507,0.0003774352871631173
2.0,0.5,3,3.0,3.25,120,0.14778548680453493,0.14478494657847765,0.150726757802308,0.14702466459968833,0.0007608222048466062,0.0051747929976112255
2.0,0.75,1,2.75,3.0,120,0.6964023049770857,0.6932966029141331,0.6994684594823358,0.6960702416719394,0.00033206330514623517,0.0004770543046756736
2.0,0.75,2,2.75,3.0,120,0.36773291579464573,0.3632073467152702,0.3722239916895687,0.36689948132013983,0.0008334344745059008,0.0022715607869139604
2.0,0.75,3,2.75,3.0,120,0.15532404906825187,0.15135328374730386,0.15929749086801784,0.15477788804957984,0.0005461610186720256,0.003528675998583689
2.0,0.75,1,3.0,3.25,120,0.6941890035894019,0.6913082550414164,0.6970639182541183,0.6960702416719394,-0.0018812380825374841,0.002702655522262822
2.0,0.75,2,3.0,3.25,120,0.36503855050051437,0.36087808505037094,0.3692913960200774,0.36689948132013983,-0.0018609308196254615,0.005072045381284412
2.0,0.75,3,3.0,3.25,120,0.1525875376516232,0.14898121507583353,0.15626915011060385,0.15477788804957984,-0.0021903503979566474,0.01415157181402433
2.0,1.0,1,2.75,3.0,120,0.7033511229620504,0.698576815431843,0.7078887463475829,0.7065742076083394,-0.003223084646289065,0.004561565666540223
2.0,1.0,2,2.75,3.0,120,0.37651728468391066,0.3696756248898762,0.38326765785305755,0.3795244880323342,-0.003007203348423526,0.007923608207772149
2.0,1.0,3,2.75,3.0,120,0.16276839931977646,0.15699883932438097,0.16866506375578486,0.16321267748675025,-0.0004442781669737883,0.002722081236672655
2.0,1.0,1,3.0,3.25,120,0.7038258709629023,0.6998233806191482,0.7078547466177277,0.7065742076083394,-0.002748336645437166,0.0038896645473940005
2.0,1.0,2,3.0,3.25,120,0.3774154650004,0.37109609379373093,0.3836738714727168,0.3795244880323342,-0.002109023031934165,0.0055570143651823695
2.0,1.0,3,3.0,3.25,120,0.16312528692767447,0.15749335932004627,0.16860284227386696,0.16321267748675025,-8.739055907577842e-05,0.0005354397735609286
4.0,0.0,1,2.75,3.0,120,0.7999472370340679,0.7998568579960881,0.8000342224729979,0.8,-5.276296593215157e-05,6.595370741518947e-05
4.0,0.0,2,2.75,3.0,120,0.5332642808197827,0.533073129344537,0.5334427379474065,0.5333333333333333,-6.905251355060482e-05,0.00012947346290738404
4.0,0.0,3,2.75,3.0,120,0.3046617348559652,0.30444828722823564,0.3048821826499467,0.30476190476190473,-0.0001001699059395289,0.00032868250386407927
4.0,0.0,1,3.0,3.25,120,0.800007064240143,0.7999452766723893,0.8000692165696833,0.8,7.0642401429621415e-06,8.830300178702677e-06
