R,c,replicate,k,seed,window_start,window_end,valid_time_points,replicate_time_average,extinction_time,censoring_time,peak_active,infection_events,identification_events,traced_removals
1.0,0.0,17,1,6213831385982037300,3.0,3.25,26,0.49902455032401316,nan,nan,194,556,548,0
1.0,0.0,17,2,6213831385982037300,3.0,3.25,26,0.1545855455565066,nan,nan,194,556,548,0
1.0,0.0,17,3,6213831385982037300,3.0,3.25,26,0.018247002987934604,nan,nan,194,556,548,0
1.0,0.0,18,1,1516459689095989557,3.0,3.25,26,0.47790854202172306,nan,nan,224,679,652,0
1.0,0.0,18,2,1516459689095989557,3.0,3.25,26,0.16326571611270807,nan,nan,224,679,652,0
1.0,0.0,18,3,1516459689095989557,3.0,3.25,26,0.02654345870139322,nan,nan,224,679,652,0
1.0,0.0,19,1,2947035382326983204,3.0,3.25,26,0.512425877289526,nan,nan,203,590,575,0
1.0,0.0,19,2,2947035382326983204,3.0,3.25,26,0.17551907738991973,nan,nan,203,590,575,0
1.0,0.0,19,3,2947035382326983204,3.0,3.25,26,0.03619144764520033,nan,nan,203,590,575,0
1.0,0.0,20,1,12654866483258086932,3.0,3.25,26,0.5690831761828563,nan,nan,161,415,447,0
1.0,0.0,20,2,12654866483258086932,3.0,3.25,26,0.20813029382984963,nan,nan,161,415,447,0
1.0,0.0,20,3,12654866483258086932,3.0,3.25,26,0.04551891230456288,nan,nan,161,415,447,0
1.0,0.0,21,1,17410599932449684477,3.0,3.25,26,0.5036711777303665,nan,nan,160,404,445,0
1.0,0.0,21,2,17410599932449684477,3.0,3.25,26,0.18874192291510267,nan,nan,160,404,445,0
1.0,0.0,21,3,17410599932449684477,3.0,3.25,26,0.03523002759396426,nan,nan,160,404,445,0
1.0,0.0,22,1,17501786927101628033,3.0,3.25,26,0.5000616360451209,nan,nan,178,506,523,0
1.0,0.0,22,2,17501786927101628033,3.0,3.25,26,0.18856373332852072,nan,nan,178,506,523,0
1.0,0.0,22,3,17501786927101628033,3.0,3.25,26,0.046127159522095604,nan,nan,178,506,523,0
1.0,0.0,23,1,17389509185355935807,3.0,3.25,26,0.4610969834044297,nan,nan,165,445,475,0
1.0,0.0,23,2,17389509185355935807,3.0,3.25,26,0.15553909285875306,nan,nan,165,445,475,0
1.0,0.0,23,3,17389509185355935807,3.0,3.25,26,0.04971133641563526,nan,nan,165,445,475,0
1.0,0.0,24,1,4614491588812200496,3.0,3.25,26,0.5689780918873695,nan,nan,170,500,501,0
1.0,0.0,24,2,4614491588812200496,3.0,3.25,26,0.22201506848446637,nan,nan,170,500,501,0
1.0,0.0,24,3,4614491588812200496,3.0,3.25,26,0.07051902244821509,nan,nan,170,500,501,0
1.0,0.0,25,1,8978922435704769089,3.0,3.25,26,0.461139390742028,nan,nan,175,500,508,0
