protocol_id,R,c,Gamma,beta,gamma,gamma_c,p_f,n_replicates,E_U,E_I,E_M1,E_trajectory
R4_c0.5_G0.25_F,4.0,0.5,0.25,0.000125,0.0,0.25,0.5,120,0.00035613955216039407,0.00048249394633223335,0.00040434410855974524,0.00072327722692425
R4_c0.5_G0.5_F,4.0,0.5,0.5,0.00025,0.0,0.5,0.5,120,0.0006412822475218695,0.0004838291931902105,0.00048132476691757034,0.0009364865938271854
R4_c0.5_G1_F,4.0,0.5,1.0,0.0005,0.0,1.0,0.5,120,0.0008976064477786824,0.0008371905038075194,0.0009001091920927346,0.0015220978393155902
R4_c0.5_G2_F,4.0,0.5,2.0,0.001,0.0,2.0,0.5,120,0.0012149674510592843,0.0008448204135836752,0.0008077876813335632,0.0016859384260569663
R4_c0.5_G4_F,4.0,0.5,4.0,0.002,0.0,4.0,0.5,120,0.0008451824204813937,0.0006005615215457915,0.00045500810120188565,0.001132271980228924
